Metric,Mean,SD,Minimum,Maximum
Accuracy,0.475,0.18929694486000911,0.2,0.6
Balanced_Accuracy,0.34375,0.15728821740147395,0.125,0.5
Precision,0.7,0.13540064007726602,0.5,0.8
Recall,0.5625,0.23935677693908453,0.25,0.75
Specificity,0.125,0.25,0.0,0.5
F1,0.6121794871794872,0.1964301723851867,0.3333333333333333,0.75
MCC,-0.2780931089239487,0.25209580921814323,-0.6123724356957946,0.0
ROC_AUC,0.234375,0.1721115796026907,0.0625,0.4375
PR_AUC,0.7408234126984128,0.07265420857083,0.6635912698412698,0.8388888888888889
