Dataset,Repeats,Accuracy_Mean,Accuracy_SD,Accuracy_Min,Accuracy_Max,Balanced_Accuracy_Mean,Balanced_Accuracy_SD,Balanced_Accuracy_Min,Balanced_Accuracy_Max,Precision_Mean,Precision_SD,Precision_Min,Precision_Max,Recall_Mean,Recall_SD,Recall_Min,Recall_Max,Specificity_Mean,Specificity_SD,Specificity_Min,Specificity_Max,F1_Mean,F1_SD,F1_Min,F1_Max,MCC_Mean,MCC_SD,MCC_Min,MCC_Max,ROC_AUC_Mean,ROC_AUC_SD,ROC_AUC_Min,ROC_AUC_Max,PR_AUC_Mean,PR_AUC_SD,PR_AUC_Min,PR_AUC_Max
STRICT,10,0.8196428571428571,0.031999238227894314,0.75,0.8571428571428571,0.8177083333333333,0.03172858833766853,0.7552083333333333,0.859375,0.8506795631084874,0.03218026582007819,0.8125,0.9,0.83125,0.04704829079431757,0.71875,0.875,0.8041666666666666,0.04831257536368358,0.75,0.875,0.8400776961888807,0.03096368559305052,0.7666666666666667,0.8709677419354839,0.6348404400919161,0.06311269804745048,0.5051814855409226,0.7131997238879487,0.9090494791666666,0.020955160469474043,0.876953125,0.9381510416666666,0.9298360871754936,0.01793177396923415,0.8961708058112657,0.9532897383308461
EXTENDED,10,0.7775862068965518,0.02980759190779297,0.7241379310344828,0.8275862068965517,0.7757211538461538,0.031137824636762863,0.7211538461538461,0.8293269230769231,0.8023352695310099,0.03550363293592305,0.75,0.8666666666666667,0.79375,0.030190368221227996,0.75,0.84375,0.7576923076923077,0.05144205807112534,0.6923076923076923,0.8461538461538461,0.7975694554872239,0.026047026038719934,0.75,0.8387096774193549,0.5515295830023702,0.06134357887385135,0.4423076923076923,0.6555098957630032,0.893389423076923,0.009628730054999871,0.8852163461538461,0.9158653846153847,0.920199936778585,0.009402992413155982,0.9092471053138409,0.9384965459270262
