Dataset,Rows,Sites,Positive,Negative,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,MCC,ROC_AUC,PR_AUC,TN,FP,FN,TP,MCC_01,Selection_Score
EXTENDED,58,58,32,26,0.7413793103448276,0.7403846153846154,0.7741935483870968,0.75,0.7307692307692307,0.7619047619047619,0.4793310904525423,0.8828125,0.9086940920192208,19,7,8,24,0.7396655452262711,0.7698809009585823
STRICT,56,56,32,24,0.75,0.7395833333333333,0.7647058823529411,0.8125,0.6666666666666666,0.7878787878787878,0.48553038055886144,0.8795572916666667,0.911383019378804,16,8,6,26,0.7427651902794308,0.765911468024403
