Kecamatan,Valid_Area_Ha,DOA_Support_Area_Ha,DOA_Support_Percent,XGB_Only_Ha_T0_5,DOA_Filtered_Ha_T0_5,DOA_Filtered_Percent_T0_5,XGB_Only_Ha_T0_6,DOA_Filtered_Ha_T0_6,DOA_Filtered_Percent_T0_6,XGB_Only_Ha_T0_7,DOA_Filtered_Ha_T0_7,DOA_Filtered_Percent_T0_7
Bagor,5328.847635811641,4918.083555154917,92.2916902728415,4591.063363231127,4522.182651002732,84.86229969519394,4174.423285777917,4145.261591419785,77.78908076789884,3674.7278228871637,3662.2496416909235,68.72498318547107
Gondang,7839.135922704674,7146.23060886914,91.160947830632,6355.453002649957,6203.225784468518,79.13149925748793,5402.401762825273,5341.895676345934,68.14393485478514,4431.481615710331,4407.0545433645075,56.21862647642391
Rejoso,16389.789584726193,14392.441354428447,87.8134602035459,12975.035804872929,12477.382576402399,76.12899794656421,10689.118650937246,10580.434182614668,64.55503365628732,9068.274134765117,9010.977208983035,54.979212285802944
Sukomoro,3666.7423718876944,3194.6598046772133,87.12528671689999,2932.894004449709,2844.5263797365333,77.57639046432729,2610.8675454435765,2567.1120827416353,70.01070220867595,2192.4397840124125,2172.5170015153603,59.249240365826836
TOTAL_4_KECAMATAN,33224.5155151302,29651.415323129717,89.24559128522635,26854.446175203724,26047.31739161018,78.39788477802911,22876.811244984012,22634.70353312202,68.12651195113543,19366.923357375024,19252.798395553826,57.947567021063826
