Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,MCC,ROC_AUC,PR_AUC,TN,FP,FN,TP,Dataset,Fold,Train_Rows,Test_Rows,Train_Sites,Test_Sites,Train_Positive,Train_Negative,Test_Positive,Test_Negative
0.7142857142857143,0.6875,0.7,0.875,0.5,0.7777777777777778,0.41079191812887456,0.90625,0.9381313131313131,3,3,1,7,STRICT,1,42,14,42,14,24,18,8,6
0.7857142857142857,0.7708333333333333,0.7777777777777778,0.875,0.6666666666666666,0.8235294117647058,0.5594309277855158,0.8541666666666667,0.8951388888888889,4,2,1,7,STRICT,2,42,14,42,14,24,18,8,6
0.7857142857142857,0.75,0.7272727272727273,1.0,0.5,0.8421052631578947,0.6030226891555273,0.9583333333333334,0.9704861111111112,3,3,0,8,STRICT,3,42,14,42,14,24,18,8,6
0.7142857142857143,0.75,1.0,0.5,1.0,0.6666666666666666,0.5477225575051661,1.0,1.0,6,0,4,4,STRICT,4,42,14,42,14,24,18,8,6
