Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,MCC,ROC_AUC,PR_AUC,TN,FP,FN,TP,Dataset,Repeat,Seed,Fold,Train_Sites,Test_Sites
0.7857142857142857,0.8125,1.0,0.625,1.0,0.7692307692307693,0.6454972243679028,0.9375,0.95,6,0,3,5,STRICT,1,11,1,42,14
0.8571428571428571,0.8333333333333333,0.8,1.0,0.6666666666666666,0.8888888888888888,0.7302967433402214,0.9166666666666667,0.9472222222222222,4,2,0,8,STRICT,1,11,2,42,14
0.7857142857142857,0.7708333333333333,0.7777777777777778,0.875,0.6666666666666666,0.8235294117647058,0.5594309277855158,0.9166666666666667,0.9415178571428572,4,2,1,7,STRICT,1,11,3,42,14
0.9285714285714286,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8660254037844387,1.0,1.0,6,0,1,7,STRICT,1,11,4,42,14
0.9285714285714286,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8660254037844387,0.9791666666666666,0.9861111111111112,6,0,1,7,STRICT,2,22,1,42,14
0.7857142857142857,0.8125,1.0,0.625,1.0,0.7692307692307693,0.6454972243679028,0.875,0.9159722222222222,6,0,3,5,STRICT,2,22,2,42,14
0.9285714285714286,0.9166666666666667,0.8888888888888888,1.0,0.8333333333333334,0.9411764705882353,0.8606629658238705,0.9375,0.9526289682539683,5,1,0,8,STRICT,2,22,3,42,14
0.7142857142857143,0.7083333333333333,0.75,0.75,0.6666666666666666,0.75,0.4166666666666667,0.8541666666666667,0.9068813131313131,4,2,2,6,STRICT,2,22,4,42,14
0.7142857142857143,0.7291666666666667,0.8333333333333334,0.625,0.8333333333333334,0.7142857142857143,0.4583333333333333,0.9166666666666667,0.9415178571428572,5,1,3,5,STRICT,3,33,1,42,14
0.9285714285714286,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8660254037844387,1.0,1.0,6,0,1,7,STRICT,3,33,2,42,14
0.9285714285714286,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8660254037844387,1.0,1.0,6,0,1,7,STRICT,3,33,3,42,14
0.6428571428571429,0.5833333333333334,0.6153846153846154,1.0,0.16666666666666666,0.7619047619047619,0.32025630761017426,0.8124999999999999,0.8928952991452992,1,5,0,8,STRICT,3,33,4,42,14
0.9285714285714286,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8660254037844387,1.0,1.0,6,0,1,7,STRICT,4,44,1,42,14
0.7142857142857143,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.8,0.47140452079103173,0.6666666666666667,0.8073232323232323,2,4,0,8,STRICT,4,44,2,42,14
0.8571428571428571,0.875,1.0,0.75,1.0,0.8571428571428571,0.75,0.9895833333333334,0.9861111111111112,6,0,2,6,STRICT,4,44,3,42,14
0.8571428571428571,0.8541666666666667,0.875,0.875,0.8333333333333334,0.875,0.7083333333333334,0.9791666666666667,0.9861111111111112,5,1,1,7,STRICT,4,44,4,42,14
0.7857142857142857,0.7916666666666667,0.8571428571428571,0.75,0.8333333333333334,0.8,0.5773502691896257,0.8958333333333333,0.9293650793650794,5,1,2,6,STRICT,5,55,1,42,14
0.7857142857142857,0.75,0.7272727272727273,1.0,0.5,0.8421052631578947,0.6030226891555273,0.9375,0.9659090909090909,3,3,0,8,STRICT,5,55,2,42,14
0.7142857142857143,0.7083333333333333,0.75,0.75,0.6666666666666666,0.75,0.4166666666666667,0.875,0.908531746031746,4,2,2,6,STRICT,5,55,3,42,14
0.8571428571428571,0.875,1.0,0.75,1.0,0.8571428571428571,0.75,1.0,1.0,6,0,2,6,STRICT,5,55,4,42,14
0.8571428571428571,0.875,1.0,0.75,1.0,0.8571428571428571,0.75,0.9166666666666666,0.9472222222222222,6,0,2,6,STRICT,6,66,1,42,14
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,8,STRICT,6,66,2,42,14
0.6428571428571429,0.6041666666666666,0.6363636363636364,0.875,0.3333333333333333,0.7368421052631579,0.251259453814803,0.7604166666666667,0.843452380952381,2,4,1,7,STRICT,6,66,3,42,14
0.8571428571428571,0.8541666666666667,0.875,0.875,0.8333333333333334,0.875,0.7083333333333334,0.9791666666666666,0.9861111111111112,5,1,1,7,STRICT,6,66,4,42,14
