Kecamatan,Valid_Area_Ha,Area_Ha_T0_4,Percent_T0_4,Area_Ha_T0_5,Percent_T0_5,Area_Ha_T0_6,Percent_T0_6
Bagor,5328.847635811641,4840.136199827427,90.82894709355341,4591.063363231127,86.15490021477896,4174.423285777917,78.33632280503564
Gondang,7839.135922704674,7030.363028476208,89.68288211605059,6355.453002649957,81.07338698188035,5402.401762825273,68.91578123015024
Rejoso,16389.789584726193,14171.85708529157,86.46759625577172,12975.035804872929,79.1653592488124,10689.118650937246,65.21815668029406
Sukomoro,3666.7423718876944,3125.832416691077,85.24821489113377,2932.894004449709,79.98636683437923,2610.8675454435765,71.20400837159067
TOTAL_4_KECAMATAN,33224.5155151302,29168.18873028628,87.79116347687086,26854.446175203724,80.8272017178833,22876.811244984012,68.85521395960184
