Parent_Site,Label,Lokasi,Kecamatan,Latitude,Longitude,CropProbability,CropConsistency,Spectral_Distance_Positive,Distance_Positive_m,HardNegative_Score,Confidence,Reference_Type,Source,Period,Use_For_Training,B2,B3,B4,B8,B11,B12,NDVI,NDWI
HCN001,0,Dynamic World crop hard negative,Sukomoro,-7.598893904131238,111.97208064082497,0.2567829682957381,0.6363636255264282,7.248201929020072,2746.695783002495,7.630579483857221,Pseudo_HardCrop,Crop_HardNegative_PseudoReference,Dynamic World crop + spectral dissimilarity,Jul-Aug 2025,True,0.1923999935388565,0.21699999272823334,0.22859999537467957,0.23960000276565552,0.2554999887943268,0.21639999747276306,0.018336886540055275,-0.04367201402783394
HCN002,0,Dynamic World crop hard negative,Sukomoro,-7.599522724830122,111.9814231197798,0.2634778908816063,0.9444444179534912,4.920566047335175,3778.713604485396,5.458657729032322,Pseudo_HardCrop,Crop_HardNegative_PseudoReference,Dynamic World crop + spectral dissimilarity,Jul-Aug 2025,True,0.14560000598430634,0.17100000381469727,0.1777999997138977,0.23340000212192535,0.2337000072002411,0.1996999979019165,0.14367815852165222,-0.1554020792245865
